𝜆,FI*,t1*,t2*,t3*
2.20328181881881902,.242811105919604798e-6,.861413464626637837e-3,.779701224610259151e-3,.422897497138493823e-3
2.25087994394394375,.287232466914781353e-6,.923992139484156537e-3,.829289298064786484e-3,.447150632667811369e-3
2.30162947297297293,.342198085647351199e-6,.994191298069957994e-3,.884282314391238752e-3,.473843284408674071e-3
2.35020324774774769,.403122474332244809e-6,.106484116341018617e-2,.938993917862360281e-3,.500198386676491374e-3
2.40413818218218234,.481577288695964579e-6,.114737312231247930e-2,.100215234914603183e-2,.530387493825680220e-3
2.45084187237237217,.559865208665818538e-6,.122241062493742120e-2,.105891294097120695e-2,.557315555589720673e-3
2.50385097847847859,.661849505612060044e-6,.131170897518905795e-2,.112568955284867421e-2,.588763152797056109e-3
2.55216302402402384,.768408975892607420e-6,.139702171052236341e-2,.118874913875495784e-2,.618242034288765370e-3
2.60500880930930911,.901645739198495056e-6,.149474508840433378e-2,.126015142077903351e-2,.651378956883685118e-3
2.65060578478478481,.103219152698751210e-5,.158285492329172483e-2,.132381255185835909e-2,.680717685192783217e-3
2.70253541741741721,.120044299768431113e-5,.168758594014207608e-2,.139864968365520153e-2,.714971901112106275e-3
2.75269687887887882,.138490889520484247e-5,.179328967096640461e-2,.147331589857577021e-2,.748907412201524911e-3
2.80282557107107122,.159315417925741052e-5,.190348641786836689e-2,.155028260633842570e-2,.783649874002560298e-3
2.85276984884884888,.182690050437094279e-5,.201791683647456694e-2,.162931554980040821e-2,.819085455669447374e-3
2.90075066416416405,.207865781912912433e-5,.213230492788753397e-2,.170746158639767018e-2,.853896232547624316e-3
2.95261919619619606,.238381150443191921e-5,.226097873972457269e-2,.179439812587265800e-2,.892370210724237833e-3
3.00205366816816799,.270967842084108142e-5,.238856595361514176e-2,.187964191933530757e-2,.929849004150619255e-3
3.05408112212212224,.309320511153256762e-5,.252817239248189418e-2,.197188199105966227e-2,.970142593927049370e-3
3.10117849649649635,.347960968288272636e-5,.265935150004475377e-2,.205762082779394019e-2,.100736396983678992e-2
3.15322991191191182,.395404229294702885e-5,.280973728857244077e-2,.215485936198738784e-2,.104931942087742335e-2
3.20308609759759744,.445928999028792188e-5,.295920061506632940e-2,.225044340215169040e-2,.109030561933484899e-2
3.25282093193193189,.501727331800454963e-5,.311367694879439820e-2,.234818223929940872e-2,.113196588443413310e-2
3.30476915915915903,.566265898341861976e-5,.328085898642727254e-2,.245281787680701581e-2,.117629838289735889e-2
3.35261537287287270,.631839904987460533e-5,.344019474592353099e-2,.255149289565901292e-2,.121786319775512371e-2
3.40161644044044031,.705589954100955326e-5,.360877975590384549e-2,.265483534861037053e-2,.126115287196978281e-2
3.45571944144144139,.795399996283428178e-5,.380136285308263055e-2,.277162036154592149e-2,.130978945911951997e-2
3.50470527727727710,.884911948391157618e-5,.398164855723242769e-2,.287978287816646056e-2,.135457784074593428e-2
3.55480246996997007,.985148279104691671e-5,.417191993993350999e-2,.299277437944814751e-2,.140111301421591084e-2
3.60575002452452464,.109678525945432448e-4,.437161215881421220e-2,.311013840938694506e-2,.144918692162842818e-2
3.65258074124124121,.120865848729948036e-4,.456073949921437412e-2,.322019312910000162e-2,.149403412423195002e-2
3.70250076876876877,.133837292005013583e-4,.476828418899343832e-2,.333979036864451989e-2,.154252484165165720e-2
3.75204080180180188,.147851102246355796e-4,.498037179389375622e-2,.346079317081007722e-2,.159133599082925689e-2
3.80503323823823836,.164188813778388541e-4,.521405815265234707e-2,.359276618192856233e-2,.164429803028957031e-2
3.85179676776776780,.179841111310469707e-4,.542618277459758127e-2,.371139018522777947e-2,.169166838071442842e-2
3.90575217317317325,.199437388026219738e-4,.567786929714200229e-2,.385075798012125565e-2,.174705009979111460e-2
3.95444276676676676,.218626413439743253e-4,.591142588689855600e-2,.397880659564881119e-2,.179768461018260683e-2
4.00261956406406405,.239107970654346775e-4,.614856129770605629e-2,.410761286634499581e-2,.184838730951105822e-2
4.05442509809809781,.262893813910583853e-4,.641030479468458411e-2,.424843797275133161e-2,.190356555875578607e-2
4.10644019619619627,.288725705155787939e-4,.668017749770771167e-2,.439222136824046500e-2,.195963818447474807e-2
4.15376623373373377,.314028028038376711e-4,.693190368996715774e-2,.452509747893603542e-2,.201122838250841545e-2
4.20402438338338325,.342883423846039324e-4,.720569673551767209e-2,.466832171689977263e-2,.206659935013584839e-2
4.25307142542542582,.373124559702962607e-4,.747933472993408607e-2,.481016733079274537e-2,.212120377663833079e-2
4.30623893643643640,.408359191016979318e-4,.778316241485207949e-2,.496620736543513120e-2,.218101394242410174e-2
4.35224361561561590,.441016311813782850e-4,.805210844835481214e-2,.510310776658912894e-2,.223327284809074012e-2
4.40508166216216246,.481140541947885770e-4,.836792848183803319e-2,.526246066126633515e-2,.229385860407227112e-2
