p,FI*,t1*,t2*,t3*,s1,s2,s3
0.,0.,1,1,1,,,
.0045034027234619,.02976942518,,,,,,
.00842178935358258,.05575631854,,,,,,
.0128284249304178,.08503015761,,,,,,
.0172642705483079,.1145076376,,,,,,
.0216790333662895,.1438154827,,,,,,
.0257720836275357,.1709312266,,,,,,
.0300102000943324,.1989243176,,,,,,
.0343932662069818,.2277602421,,,,,,
.0387622757710202,.2563649544,,,,,,
.0432563391271723,.285622651,,,,,,
.0472147125774408,.3112384504,,,,,,
.0516709035442414,.3398877936,,,,,,
.0561453920592936,.3684406026,,,,,,
.0604573908461064,.3957417581,,,,,,
.0643730988413987,.4203429491,,,,,,
.0690292543831872,.4493507982,,,,,,
.07297362887601,.4737094413,,,,,,
.0775618741036298,.50178998,,,,,,
.0816232485783079,.5264131676,,,,,,
.0860792200702565,.5531728665,,,,,,
.0903223586760573,.5784023459,,,,,,
.0947496286767404,.6044617638,,,,,,
.0988152445814864,.6281523572,,,,,,
.103200560580386,.6534467771,,,,,,
.107755671432634,.6794348856,,,,,,
.111720908820086,.7018202088,,,,,,
.116003473829762,.7257487457,,,,,,
.120427782534045,.7501988938,,,,,,
.124756105446279,.7738533742,,,,,,
.128943980422083,.7964915302,,,,,,
.133593901569576,.8213420596,,,,,,
.137772062534196,.8434167473,,,,,,
.142233141174529,.8667218975,,,,,,
.146275541469327,.8876057576,,,,,,
.150694952729379,.9101846751,,,,,,
.154853274312315,.9311906669,,,,,,
.159199918532384,.9529024819,,,,,,
.163449557751731,.9738894121,,,,,,
.167898536178323,.9956087181,,,,,,
.172183431176759,1.016285761,,,,,,
.176565355193758,1.037188877,,,,,,
.18091099466751,1.057679761,,,,,,
.184904186023232,1.076301135,,,,,,
.189480833948303,1.097401617,,,,,,
.193574242411102,1.116057958,,,,,,
.197938669603652,1.135727394,,,,,,
.202115983315284,1.154341429,,,,,,
.206754353345071,1.174769922,,,,,,
.210770840972806,1.192258022,,,,,,
.215329590355681,1.211883563,,,,,,
.2194843955202,1.229565665,,,,,,
.224029099416443,1.248686818,,,,,,
.227950410283178,1.265002546,,,,,,
.232416325634458,1.283380965,,,,,,
.236730179390524,1.300930742,,,,,,
.241041215010292,1.318272595,,,,,,
.245336391107807,1.335357963,,,,,,
.249462710683366,1.351592923,,,,,,
.253923371421887,1.368948994,,,,,,
.258174704544613,1.385305194,,,,,,
.26264903246726,1.40232661,,,,,,
.266699376684241,1.417566947,,,,,,
.271175765277322,1.434227045,,,,,,
.27546336551099,1.450006471,,,,,,
.279740529605687,1.465576299,,,,,,
.284208044080267,1.481658982,,,,,,
.288322788003767,1.496311156,,,,,,
.292536848623591,1.511159546,,,,,,
.297189672271122,1.527371383,,,,,,
.301402422971714,1.54188687,,,,,,
.305710749654575,1.556573647,,,,,,
.31009220691627,1.571348021,,,,,,
.314119618744429,1.584786608,,,,,,
.318412709335859,1.598963952,,,,,,
.322673120642642,1.612884582,,,,,,
.327230436444535,1.62761344,,,,,,
.331252070217364,1.640473836,,,,,,
.335892200737624,1.655154384,,,,,,
.340079560793315,1.668259294,,,,,,
.344222734694575,1.681093976,,,,,,
.348677977645369,1.694750789,,,,,,
.353151242972278,1.708314026,,,,,,
.357221252075738,1.72052664,,,,,,
.361543420954443,1.733364103,,,,,,
.365761435349808,1.745762907,,,,,,
.370333807453674,1.759060861,,,,,,
.374290180579408,1.770449104,,,,,,
.378834218949047,1.783395269,,,,,,
.383105853904488,1.795436582,,,,,,
.387336229524676,1.807240066,,,,,,
.391569970440275,1.818933249,,,,,,
.395888118181576,1.830737613,,,,,,
.400465282447169,1.843117142,,,,,,
.404662093867339,1.854349125,,,,,,
.408804885635291,1.865326268,,,,,,
.413233461853533,1.876940808,,,,,,
.417652397448437,1.888407954,,,,,,
