p,FI*,t1*,t2*,s1,s2
0.,0.,1,1,,
.000343336586089589,.05331223079,,,,
.000642071913835391,.0953831221,,,,
.000978031033638135,.1385467573,,,,
.00131621710856596,.178129636,,,,
.00165279584411281,.2141644152,,,,
.00196484741704188,.2449381044,,,,
.00228795874607743,.2744343432,,,,
.00262212094478152,.3026816227,,,,
.00295521148107639,.3287991763,,,,
.00329783603968692,.3537646447,,,,
.00359961993740551,.3743167738,,,,
.00393935712891488,.3959980709,,,,
.00428048931397385,.4163618688,,,,
.00460923338453494,.4347764861,,,,
.00490776449484921,.4505592917,,,,
.00526274685956006,.4682619953,,,,
.00556346348558359,.4824266911,,,,
.0059132684107318,.498022943,,,,
.00622290504165151,.5110988395,,,,
.00656262550053644,.5247185255,,,,
.00688611971428526,.5370332885,,,,
.00722365198956063,.5492524248,,,,
.00753361198443624,.5599465895,,,,
.0078679457130504,.5709555553,,,,
.0082152244942979,.5818522254,,,,
.00851753169426247,.5909207778,,,,
.00884403175220058,.6003072452,,,,
.00918133826010431,.6095874499,,,,
.00951132687170182,.6182821278,,,,
.00983060782112069,.6263551708,,,,
.0101851148795387,.6349515922,,,,
.0105036552388656,.6423656902,,,,
.0108437650635254,.6499769351,,,,
.0111519551149265,.656617024,,,,
.0114888882447679,.6636124996,,,,
.0118059160621358,.6699563972,,,,
.0121373014786986,.6763538491,,,,
.0124612912951283,.6823895407,,,,
.0128004786071166,.6884884686,,,,
.0131271563019297,.694160688,,,,
.013461231427981,.699766977,,,,
.0137925402433177,.7051423317,,,,
.0140969786362097,.7099274478,,,,
.0144458993903189,.7152386567,,,,
.0147579782723087,.7198396498,,,,
.0150907194514886,.7245970938,,,,
.0154091952167815,.729013714,,,,
.0157628216252638,.7337681201,,,,
.0160690361112554,.7377634124,,,,
.0164165922917852,.7421673536,,,,
.0167333520196287,.7460650917,,,,
.0170798373811077,.7502074352,,,,
.0173787956508104,.7536839763,,,,
.0177192742232653,.7575377575,,,,
.0180481597155135,.7611578019,,,,
.0183768303548259,.7646789153,,,,
.0187042918741547,.768094861,,,,
.0190188798786444,.7712931569,,,,
.0193589578427334,.7746622389,,,,
.0196830768012893,.7777910021,,,,
.0200241967428845,.7810005287,,,,
.0203329924339074,.7838349099,,,,
.020674269479718,.7868918193,,,,
.0210011534199607,.7897480348,,,,
.0213272417155438,.7925298514,,,,
.0216678422041514,.7953661005,,,,
.0219815476882218,.7979178617,,,,
.0223028250146415,.800473111,,,,
.0226575533578336,.8032284503,,,,
.0229787308168363,.8056655088,,,,
.0233071949285059,.8081030914,,,,
.0236412344694269,.8105271205,,,,
.0239482818095756,.8127079843,,,,
.0242755843312345,.814984416,,,,
.0246003954048229,.8171957779,,,,
.024947842290042,.8195102881,,,,
.0252544491148929,.8215103501,,,,
.0256082097420597,.8237701837,,,,
.0259274514342936,.8257668657,,,,
.0262433244019549,.8277038716,,,,
.0265829893173213,.8297451976,,,,
.0269240282472869,.8317527347,,,,
.0272343231768644,.8335437738,,,,
.0275638426088233,.8354097966,,,,
.0278854213685989,.837196125,,,,
.0282340161367936,.8390948993,,,,
.0285356475310302,.8407071626,,,,
.0288820821531801,.8425247543,,,,
.0292077489106703,.8442010057,,,,
.0295302700824378,.8458309992,,,,
.0298530478222071,.8474331379,,,,
.0301822606851839,.8490379804,,,,
.0305312208047692,.8507077279,,,,
.0308511830630758,.8522111249,,,,
.0311670268971345,.8536699582,,,,
.0315046587576135,.8552024402,,,,
.0318415556230437,.8567045131,,,,
.0321439405662139,.8580302687,,,,
.032502137337318,.8595739564,,,,
.0328018597848954,.8608438854,,,,
.0331524188398117,.8623047013,,,,
.0334869935228118,.8636748746,,,,
.0337857288538391,.8648789272,,,,
.0341216879572341,.8662117261,,,,
.0344598740518512,.8675311467,,,,
.0347964527775534,.8688227132,,,,
.0351085043439194,.8700013843,,,,
.0354316156860812,.8712032357,,,,
.0357657778782222,.8724267513,,,,
.036098868414517,.8736271304,,,,
.036441492969846,.874842328,,,,
.0367432768610015,.8758966344,,,,
