p,FI*,t1*,t2*,s1,s2
0.,0.,1,1,,
.00209149266368444,.04468514295,,,,
.00391128924720577,.08101301494,,,,
.00595784083195873,.1193013051,,,,
.00801795828908058,.1553526909,,,,
.0100682843675392,.1889823569,,,,
.0119691991022772,.2183330817,,,,
.0139374862048198,.247027314,,,,
.0159730915419333,.2750363272,,,,
.0180021686669142,.3014069095,,,,
.0200893238952389,.327050056,,,,
.0219276913564096,.3484870344,,,,
.0239972577015389,.3714287287,,,,
.0260753218849211,.3932881941,,,,
.0280779217815393,.4133205082,,,,
.0298964743401675,.4306938076,,,,
.0320589092265456,.4504083338,,,,
.0338907752223589,.4663589966,,,,
.0360216708632833,.4841057588,,,,
.0379078745718725,.4991354116,,,,
.0399773389874007,.5149383766,,,,
.0419479584966874,.529359177,,,,
.0440040932230662,.5437934296,,,,
.045892266757677,.5565300038,,,,
.0479289169981391,.5697438187,,,,
.0500444242078569,.5829261978,,,,
.0518859794528313,.5939762086,,,,
.0538749095684582,.6054901526,,,,
.0559296689948526,.6169510332,,,,
.0579398502228896,.6277591799,,,,
.0598848039226084,.6378560955,,,,
.0620443434006181,.6486732821,,,,
.0639847856710083,.6580575747,,,,
.0660566219737594,.6677446976,,,,
.0679340135994736,.6762402264,,,,
.0699864985304899,.6852355698,,,,
.0719177268966852,.693433374,,,,
.0739364169975191,.7017394829,,,,
.0759100555540411,.7096121372,,,,
.0779762722154179,.7176032448,,,,
.0799662844359991,.7250679165,,,,
.082001359355377,.7324769426,,,,
.0840195828269353,.7396100008,,,,
.0858741205927162,.7459840232,,,,
.0879996301567805,.7530856753,,,,
.0899007112492631,.7592606472,,,,
.0919276602065143,.7656681184,,,,
.093867708991463,.7716371613,,,,
.096021883842007,.7780850049,,,,
.0978872409781618,.7835213033,,,,
.100004438012348,.7895327273,,,,
.101934033266034,.7948699508,,,,
.104044707225547,.8005594574,,,,
.105865861897563,.8053483351,,,,
.107939944489639,.8106716892,,,,
.109943405880292,.8156864401,,,,
.111945558458087,.8205774563,,,,
.113940345477773,.8253349832,,,,
.115856711312731,.8298006662,,,,
.117928353531447,.8345166609,,,,
.119902778778991,.8389071868,,,,
.12198076837925,.8434220191,,,,
.123861849360767,.8474184079,,,,
.125940795987825,.8517383356,,,,
.127932064587192,.8557838526,,,,
.129918486383054,.8597325667,,,,
.131993311647916,.8637672863,,,,
.133904301461043,.867404871,,,,
.135861416427636,.8710546302,,,,
.138022303899132,.8749982854,,,,
.139978810506528,.8784934181,,,,
.141979704986388,.8819959194,,,,
.144014563132949,.8854855266,,,,
.145884993740531,.8886306991,,,,
.147878812199122,.8919193935,,,,
.149857453582001,.89511967,,,,
.151973984825387,.8984751347,,,,
.153841731959809,.9013796109,,,,
.155996724426084,.9046667869,,,,
.157941438984046,.9075760139,,,,
.159865632388671,.910402635,,,,
.161934758451497,.9133861288,,,,
