𝜆,FI*,t1*,t2*
.163642298548548554e-2,.200000000000000017e-29,.534370141858682686e-12,.534175853728899282e-12
.327284597097097108e-2,.330000000000000028e-28,.427573813072012907e-11,.427262952107616645e-11
.490926895645645619e-2,.170999999999999997e-27,.155099432033689886e-11,.154930318815647151e-11
.654569194194194216e-2,.221799999999999990e-26,.490681232983268711e-11,.489968008059017223e-11
.981853791291291238e-2,.214021000000000003e-24,.115540370796941244e-9,.115288548580641459e-9
.130913838838838843e-1,.213782299999999984e-23,.273972862894425326e-9,.273176981302533570e-9
.196370758258258248e-1,.547898049999999976e-22,.925329029128226670e-9,.921299892574558958e-9
.261827677677677687e-1,.547276748000000025e-21,.219496124935036174e-8,.218222725011284664e-8
.392741516516516495e-1,.140258588649999993e-19,.741870923900799728e-8,.735424426420998534e-8
.523655355355355373e-1,.140096960244999998e-18,.176104591304177929e-7,.174067206934238251e-7
.751470217717717659e-1,.251960652903699999e-17,.521741113678694730e-7,.513100984944277284e-7
.979285080080080084e-1,.209544683081260011e-16,.115751830944178092e-6,.113260241929726336e-6
.149168835835835845,.607177852977717036e-15,.411384086992948157e-6,.397973029567770511e-6
.200748817817817810,.653062444129885435e-14,.100826644720990524e-5,.964288455731708109e-6
.252083649149149158,.403535157567641346e-13,.200731845559192522e-5,.189801390935816198e-5
.299677609109109122,.160888294791401038e-12,.338934081239486317e-5,.317112240691852822e-5
.348958397897897898,.543493349571477180e-12,.537893786291109721e-5,.497793891424940519e-5
.399924660160160150,.161617909269476207e-11,.813923311991745982e-5,.744789282298597080e-5
.450727472972972998,.420329041243506288e-11,.117119874733668055e-4,.105973594398445150e-4
.502984410410410421,.100987171480097941e-10,.163616762431551873e-4,.146344877801044065e-4
.549012349349349393,.203259781832770616e-10,.213742679795154488e-4,.189245981300662488e-4
.600828906906906934,.417699433395929850e-10,.281578954230138848e-4,.246474632129944877e-4
.652858228228228255,.810622212738386055e-10,.363067325032201903e-4,.314182882310457776e-4
.702998120120120085,.146313370981259704e-9,.455479258882621741e-4,.389830024857791633e-4
.748529945445445488,.241391889464358908e-9,.552197529546129872e-4,.467906650887690360e-4
.802671689689689716,.421294521085050987e-9,.684326404686238669e-4,.573025453315246353e-4
.848536848848848835,.656075329110953674e-9,.811866368272447242e-4,.673033849785033836e-4
.901888932432432400,.106648107002121701e-8,.979539298783925499e-4,.802627962394545903e-4
.949114566566566564,.160129040806024505e-8,.114641354726036091e-3,.929745671437357370e-4
1.00092857207207198,.244460180096610246e-8,.135071698178757817e-3,.108316331246853607e-3
1.05026775825825824,.358459731577152619e-8,.156711619110441730e-3,.124331748426298732e-3
1.10174802302302299,.524397811307320922e-8,.181694942668702360e-3,.142555842109753477e-3
1.14902297647647655,.732202421428918899e-8,.206915889278088078e-3,.160695505030498248e-3
1.20001540040040044,.103362606909577259e-7,.236692007505683727e-3,.181813071424119808e-3
1.25298219769769759,.145610629925918324e-7,.270588424842514079e-3,.205500076092533812e-3
1.29908995045045050,.193920316232677264e-7,.302673895169678774e-3,.227609751820573390e-3
1.34888758658658658,.261245658124978202e-7,.340144529310855686e-3,.253082908268380496e-3
1.40033341741741735,.351340775632547516e-7,.382059816405385104e-3,.281174820072243703e-3
1.45066312612612602,.464531939831778477e-7,.426350768755117977e-3,.310439081115426415e-3
1.49935970720720713,.603012250719816944e-7,.472422185914932928e-3,.340462522214394429e-3
1.55342895795795788,.797605455941002528e-7,.527430933717365751e-3,.375801889614004467e-3
1.60201258458458451,.101687623400873866e-6,.580448353998858991e-3,.409382791319397993e-3
1.65388597597597609,.130708700921770032e-6,.640945142480568329e-3,.447175012222983707e-3
1.70089097847847848,.162964463739072683e-6,.699350958850287856e-3,.483170982681513958e-3
1.75227986186186180,.205930674427196251e-6,.767236095074823364e-3,.524451746494026746e-3
1.80063279629629625,.255007367322919859e-6,.835077298256607712e-3,.565152217305981775e-3
1.85117554504504511,.316846548729514438e-6,.910229317942814467e-3,.609641403577197878e-3
1.90059032032032027,.389468370219605331e-6,.988015842065039515e-3,.655077246486187692e-3
1.95232301051051049,.480525782715265777e-6,.107415140008969810e-2,.704715646600892259e-3
2.00214773973973958,.585088313731209214e-6,.116178187583181568e-2,.754540474004104680e-3
2.05310072172172164,.711818407419913694e-6,.125626569898665448e-2,.807553234358751506e-3
2.10363178728728739,.860258136050790971e-6,.135495513217539641e-2,.862194722466285736e-3
2.15006458858858851,.101949566693281101e-5,.145012597904978571e-2,.914227685649683284e-3
2.20328181881881902,.123269750651698161e-5,.156461089610640297e-2,.976018154128600337e-3
2.25087994394394375,.145489663576790483e-5,.167201056365686145e-2,.103323916701737414e-2
2.30162947297297293,.172898987139106715e-5,.179183930360079353e-2,.109628574006501037e-2
2.35020324774774769,.203182604654016096e-5,.191177666265178112e-2,.115860035923386648e-2
2.40413818218218234,.242047266302694072e-5,.205108632411321384e-2,.123005196425495932e-2
2.45084187237237217,.280696891036659762e-5,.217703263104790162e-2,.129384334160464218e-2
2.50385097847847859,.330869095683767111e-5,.232607080818900483e-2,.136840275379658560e-2
2.55216302402402384,.383102080591458660e-5,.246763752942217706e-2,.143834763505771429e-2
2.60500880930930911,.448168132259722643e-5,.262885810820448962e-2,.151702529124586789e-2
2.65060578478478481,.511684248281964204e-5,.277339375857386158e-2,.158672540811039702e-2
2.70253541741741721,.593236719133542530e-5,.294421995686284729e-2,.166814391010146378e-2
2.75269687887887882,.682287949393660115e-5,.311560230952955550e-2,.174884044564353638e-2
2.80282557107107122,.782410800494988477e-5,.329321212353922985e-2,.183148473824038265e-2
2.85276984884884888,.894328910125662361e-5,.347654833262181582e-2,.191580018200151613e-2
2.90075066416416405,.101437165383589417e-4,.365874204127337923e-2,.199864375130785884e-2
