𝜆,FI*,t1*
4.55317289189189189,.156979513473514483e-2,.183473426599641692e-1
4.60338428378378417,.167373986368744539e-2,.187527851578515939e-1
4.65660751801801798,.178908837753299237e-2,.191820871923828393e-1
4.70540801201201209,.189960608516428304e-2,.195750594551555614e-1
4.75358036586586596,.201323061278207722e-2,.199621392629056107e-1
4.80507581931931949,.213973801877675356e-2,.203747698107442678e-1
4.85645917167167163,.227123084511814816e-2,.207850738193476742e-1
4.90257878178178164,.239377749637572409e-2,.211519309889686147e-1
4.95721078578578567,.254453401205604170e-2,.215845222790224146e-1
5.00292431331331322,.267537662284465707e-2,.219446535914751654e-1
5.05639141841841866,.283387847533837604e-2,.223635100647975732e-1
5.10742059059059095,.299067918224223085e-2,.227606776014191263e-1
5.15298356306306271,.313526211595047339e-2,.231129862249742704e-1
5.20422389089089066,.330303361850839720e-2,.235063944408659686e-1
5.25580387287287287,.347745385134538365e-2,.238992180452377509e-1
5.30713870420420442,.365655854706571767e-2,.242867949126590217e-1
5.35473266416416394,.382751655754488005e-2,.246429482700859653e-1
5.40401345295295332,.400949156211930120e-2,.250083382197203996e-1
5.45497971521521485,.420297244782369666e-2,.253824346112910340e-1
5.50578252802802837,.440114579325687465e-2,.257513301905890023e-1
5.55803946546546523,.461048367011272081e-2,.261264484513679014e-1
5.60406740440440476,.479944149387430841e-2,.264530795155293250e-1
5.65588396196196186,.501723547777355953e-2,.268164190028305251e-1
5.70791328328328351,.524126577812507929e-2,.271764510329320259e-1
5.75805317517517512,.546215676474096599e-2,.275187264662741515e-1
5.80358500050050008,.566693408871260258e-2,.278254622945435064e-1
5.85772674474474453,.591553746984860816e-2,.281850223504983149e-1
5.90359190390390420,.613040040698143666e-2,.284851219420985506e-1
5.95694398748748721,.638516053182029003e-2,.288289154395610751e-1
6.00416962162162182,.661490670753402555e-2,.291283960988339211e-1
6.05598362712712746,.687145172274806863e-2,.294516619589275559e-1
6.10532281331331372,.711999397033815339e-2,.297542442425506627e-1
6.15680307807807825,.738362670947463866e-2,.300644287424399609e-1
6.20407803153153115,.762949134723472575e-2,.303442420523961330e-1
6.25507045545545548,.789861536051114123e-2,.306405978045399333e-1
6.30803725275275262,.818233848700135151e-2,.309423691450154727e-1
6.35414500550550532,.843267280800284388e-2,.311999929394129565e-1
6.40394264164164184,.870642412164949857e-2,.314728957094586662e-1
6.45538847247247283,.899279173599090709e-2,.317489739107389424e-1
6.50571818118118106,.927630503326141130e-2,.320132724324979981e-1
6.55441476226226261,.955364885831733700e-2,.322635212420472606e-1
6.60848401301301269,.986492683480536155e-2,.325350525556357198e-1
6.65706763963963954,.101474766110768253e-1,.327733436781865520e-1
6.70894103103103134,.104519879259817039e-1,.330218150431482796e-1
6.75594603353353396,.107303137209884547e-1,.332416531704987084e-1
6.80733491691691661,.110370559950023570e-1,.334762155511715911e-1
6.85568785135135172,.113278860613274194e-1,.336914149792198678e-1
6.90623060010010015,.116340329854265068e-1,.339106654787184117e-1
6.95564537537537575,.119353271576398828e-1,.341194102668407398e-1
7.00737806556556553,.122526990394837727e-1,.343320213264472554e-1
7.05720279479479462,.125601003752322925e-1,.345310847636861040e-1
7.10815577677677712,.128760736112599975e-1,.347288933870590136e-1
7.15868684234234198,.131908923485437278e-1,.349193408790858806e-1
7.20511964364364399,.134813364303873855e-1,.350893477009121199e-1
7.25833687387387361,.138154341765051106e-1,.352783511250105361e-1
7.30593499899899879,.141152252928420079e-1,.354421481543950451e-1
7.35668452802802797,.144357363266933141e-1,.356113728169041507e-1
7.40525830280280317,.147432208989681963e-1,.357681492405802492e-1
7.45919323723723693,.150853117388694384e-1,.359363324983796723e-1
7.50589692742742720,.153819834066933614e-1,.360770011032073568e-1
7.55890603353353363,.157190708204494184e-1,.362311341531107792e-1
7.60721807907907888,.160265030334219155e-1,.363665442097939121e-1
7.66006386436436415,.163628827961801830e-1,.365091921410700265e-1
7.70566083983983940,.166530967694049278e-1,.366277322337684175e-1
7.75759047247247224,.169834680601615891e-1,.367576733486204010e-1
7.80775193393393430,.173023233114584889e-1,.368781337283264482e-1
7.85788062612612581,.176205925802308747e-1,.369936160603979089e-1
7.90782490390390347,.179372051242483559e-1,.371038673923323806e-1
7.95580571921921909,.182408143233678648e-1,.372053271892406820e-1
8.00767425125125065,.185683026824243480e-1,.373101638450258899e-1
8.05710872322322302,.188796243637833656e-1,.374054642000153995e-1
8.10913617717717727,.192063279629868106e-1,.375009708153286950e-1
8.15623355155155139,.195011470498898908e-1,.375832527660455509e-1
8.20828496696696774,.198258574006871698e-1,.376696475014688323e-1
8.25814115265265336,.201356808676913489e-1,.377479977850123105e-1
8.30787598698698737,.204435015612436446e-1,.378219378055219546e-1
8.35982421421421407,.207636014169181732e-1,.378947442773873572e-1
8.40767042792792729,.210570654981642180e-1,.379578703641382312e-1
8.45667149549549535,.213561893556570882e-1,.380186800045398399e-1
8.51077449649649687,.216847017203645326e-1,.380813874642080483e-1
8.55976033233233302,.219804808657093759e-1,.381342234634770363e-1
8.60985752502502422,.222812684044001140e-1,.381844573153501399e-1
8.66080507957958012,.225853299457954675e-1,.382316753840699630e-1
8.70763579629629625,.228631368343999788e-1,.382717012757411643e-1
8.75755582382382336,.231574369967869169e-1,.383108733810349142e-1
8.80709585685685603,.234475732083008204e-1,.383462504580699415e-1
8.86008829329329295,.237557487561867141e-1,.383803144452365547e-1
8.90685182282282284,.240257818934451473e-1,.384071952589013499e-1
8.96080722822822828,.243350562336136118e-1,.384345839365294109e-1
9.00949782182182268,.246120036861147314e-1,.384560337650353343e-1
9.05767461911911909,.248839825891404402e-1,.384742715294876941e-1
9.10948015315315374,.251741355233512341e-1,.384906388063382468e-1
9.16149525125125130,.254630112658491212e-1,.385037635546986376e-1
9.20882128878878881,.257236787361335775e-1,.385128876995902286e-1
9.25907943843843917,.259982041459897797e-1,.385197026089606487e-1
9.30812648048047997,.262638094410415947e-1,.385235607474554154e-1
9.36129399149149144,.265491262318266925e-1,.385246985411149198e-1
9.40729867067067005,.267937969664197584e-1,.385231847376261496e-1
9.46013671721721749,.270722583249252968e-1,.385186530261301674e-1
9.50980725875875876,.273315173040231882e-1,.385117328442096257e-1
9.55899803703703732,.275858564702070284e-1,.385023993595704148e-1
9.60822794694694693,.278379746010144098e-1,.384906455330051023e-1
9.65843933883883921,.280926065658006346e-1,.384762301625514030e-1
9.71166257307307390,.283597267555795902e-1,.384583402482826173e-1
9.76046306706706623,.286021188007267620e-1,.384396355057250727e-1
9.80863542092092011,.288390067468666765e-1,.384190659099809817e-1
9.86013087437437363,.290896081597048078e-1,.383948214189793816e-1
9.91151422672672666,.293369501959433628e-1,.383683654921762596e-1
9.95763383683683756,.295566411553657253e-1,.383427426769813381e-1
10.0122658408408416,.298140453601878769e-1,.383101533038594927e-1
10.0579793683683683,.300270641122929727e-1,.382810671007355538e-1
10.1114464734734728,.302734783116885668e-1,.382450039271722483e-1
10.1624756456456460,.305059069496763716e-1,.382085850403430585e-1
10.2080386181181186,.307111699915947577e-1,.381744610440657856e-1
10.2592789459459457,.309394564093469771e-1,.381343232137510701e-1
10.3108589279279279,.311665303604592644e-1,.380920867649156905e-1
10.3621937592592595,.313898155302386947e-1,.380482775661132519e-1
10.4097877192192190,.315944206538588956e-1,.380061247160729115e-1
10.4590685080080075,.318038419493445884e-1,.379609639279878258e-1
10.5100347702702699,.320178277080224866e-1,.379126840082832858e-1
10.5608375830830834,.322285078210737957e-1,.378630119171848648e-1
10.6130945205205212,.324425009180347237e-1,.378103548792162805e-1
10.6591224594594589,.326287135491168181e-1,.377626999718593467e-1
10.7109390170170169,.328358099073416052e-1,.377076660141246744e-1
10.7629683383383377,.330410687246398341e-1,.376509736631730763e-1
