p,t1*,s1
0.,1.,
.911360740661621,1.,

.911360740661621,,
.911361217498779,,1.
.911361217498779,,.462473334174829
.911361694335938,,

.911361694335938,.462473334174829,
.916816930515603,.466168227612478,
.921563502346541,.469486529996002,
.926901518798882,.473335596148381,
.932274919089302,.477338759212028,
.937622780546112,.481455000510371,
.942580932690492,.485392980182287,
.947714812048618,.489598953550051,
.953024277424882,.494092051716002,
.958316715278347,.498723105675484,
.96376063813394,.503654189815195,
.968555648348335,.508146099725905,
.973953694154663,.513380579475627,
.979373904855706,.518838576515531,
.98459728220678,.524305051152118,
.986968945728414,.526858328951196,
.989340609250049,.529458562280023,
.992160746569479,.532614143290324,
.994980883888909,.535841947774246,
.997490441944454,.538778303130611,
1.,.541777817520381,
